use_obstacle,seed,target_x,target_y,obstacle_x,obstacle_y,q1,q2,success_t2,collision_t2,success_t4,collision_t4,success_t6,collision_t6,success_t8,collision_t8,success_t12,collision_t12
1,10097,-0.3725982350089652,0.20815704884534045,0.9858999732219683,0.16699686499086108,-2.730518364388758,-1.9660731890635326,1,0,1,0,1,0,1,0,1,0
1,10098,1.1576771373253556,-1.1608012141835318,0.6229708975769405,0.10338735326824586,-0.9598537531817792,1.5190057006449986,1,0,1,0,1,0,1,0,1,0
1,10099,-1.1112024536597849,-0.16349107656543857,0.4375041833770438,0.4781836429543666,-0.8739453364970287,-2.312022495510936,1,0,1,0,1,0,1,0,1,0
1,10100,-0.6950234157187971,-0.38199322194651436,0.16472755480332305,-0.645455441785869,1.6965474711301678,-0.8601662979879809,1,0,1,0,1,0,1,0,1,0
1,10101,0.06486837117316865,-0.6499642557468087,-0.6386943462465077,0.6647130766331862,-0.17614174352949108,-1.9227876312323962,1,0,1,0,1,0,1,0,1,0
1,10102,0.41071576548989214,-0.6113459552977368,0.9321805280642372,0.2456822684602158,2.314205941994532,1.6539694247430403,1,0,1,0,1,0,1,0,1,0
1,10103,-1.2878531819408876,0.2007149756578326,0.7752183620598817,-0.15037122852453755,-0.6903783851968115,-1.8864760909616844,0,0,1,0,1,0,1,0,1,0
1,10104,0.3869279113634931,0.356236825122866,-0.6334169161203549,0.987698085392649,-1.4301354580812222,-1.473361554592985,1,0,1,0,1,0,1,0,1,0
1,10105,1.2535689826074385,0.276953998277023,-0.7970703625619314,-0.5155185948878547,-1.3326046089784496,0.1610918200759648,1,0,1,0,1,0,1,0,1,0
1,10106,-0.6020470851303087,1.5961302005340194,0.8646052418767824,-0.37936230084045985,0.8601278265609266,-0.7877319795961135,0,0,0,0,1,0,1,0,1,0
1,10107,-1.268842026175164,-0.1965345990086388,0.5414947686686177,0.8330739621887081,2.341592347058918,1.3652515249135795,1,0,1,0,1,0,1,0,1,0
1,10108,0.3222992674091353,0.273524410240902,-0.11984837363592066,0.6248810374362888,-1.26861053696222,-0.43584571978155295,1,0,1,0,1,0,1,0,1,0
